
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 10월 20일~11월 18일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
진천,602,10-23,      11.8,      19.6,       6.3,       2.8,,,,,,,       1.0
괴산,603,10-23,      11.1,      19.2,       5.4,       2.7,,,,,,,       0.8
옥천,604,10-23,      12.0,      19.5,       6.6,       2.8,,,,,,,       0.9
세종연서,611,10-23,      12.0,      19.8,       6.3,       2.2,,,,,,,       1.0
공주,612,10-23,      12.8,      19.9,       7.1,       2.0,,,,,,,       1.1
서천,614,10-23,      13.4,      20.0,       7.9,       2.1,,,,,,,       1.5
논산,615,10-23,      12.9,      20.4,       6.6,       2.3,,,,,,,       1.3
당진,616,10-23,      13.0,      19.1,       8.0,       2.2,,,,,,,       1.7
청양,618,10-23,      12.0,      19.5,       5.8,       2.7,,,,,,,       1.0
음성,619,10-23,      10.7,      19.6,       4.4,       2.6,,,,,,,       1.2
증평,623,10-23,      11.9,      19.7,       6.0,       2.5,,,,,,,       1.0
태안,627,10-23,      14.6,      19.6,      10.5,       2.8,,,,,,,       1.7
예산,628,10-23,      13.2,      20.0,       7.7,       2.5,,,,,,,       1.6
아산,634,10-23,      13.7,      19.6,       8.3,       2.3,,,,,,,       1.7
계룡,636,10-23,      12.1,      19.6,       5.7,       2.4,,,,,,,       0.8
오월드,642,10-23,      14.2,      20.3,       9.2,       2.5,,,,,,,       0.9
세천,643,10-23,      12.8,      19.6,       7.1,       2.2,,,,,,,       0.9
장동,648,10-23,      13.0,      19.8,       7.5,       2.1,,,,,,,       0.9
부평,649,10-23,      13.5,      19.8,       8.3,       2.2,,,,,,,       0.6
연천청산,652,10-23,      11.9,      19.2,       6.0,       2.1,,,,,,,       0.9
양양,670,10-23,      14.3,      19.1,       9.9,       2.0,,,,,,,       2.3
사북,674,10-23,       9.4,      14.3,       5.2,       3.6,,,,,,,       2.4
무안,699,10-23,      14.5,      20.2,       9.6,       1.9,,,,,,,       1.8
무주,701,10-23,      11.8,      19.3,       6.0,       2.5,,,,,,,       1.0
익산,702,10-23,      14.0,      20.5,       8.4,       2.0,,,,,,,       1.3
진안,703,10-23,      11.1,      18.9,       5.1,       2.3,,,,,,,       1.3
담양,706,10-23,      13.8,      21.0,       8.2,       2.4,,,,,,,       1.6
광산,708,10-23,      14.5,      21.3,       8.6,       1.6,,,,,,,       1.5
구례,709,10-23,      13.6,      21.6,       7.8,       2.2,,,,,,,       1.1
나주,710,10-23,      14.3,      21.5,       8.6,       2.2,,,,,,,       1.3
순천시,712,10-23,      15.8,      21.5,      11.4,       2.5,,,,,,,       1.9
광양읍,713,10-23,      15.3,      21.9,      10.1,       2.5,,,,,,,       1.5
조선대,722,10-23,      15.4,      21.0,      10.6,       1.8,,,,,,,       1.6
거문도,723,10-23,      17.7,      20.5,      15.8,       2.4,,,,,,,       4.0
추자도,724,10-23,      17.6,      20.0,      15.6,       2.3,,,,,,,       4.1
장성,730,10-23,      13.7,      20.8,       8.1,       2.1,,,,,,,       1.2
영암,731,10-23,      14.7,      21.3,       9.0,       2.0,,,,,,,       1.6
보성,732,10-23,      12.9,      20.4,       7.2,       2.6,,,,,,,       1.4
완주,734,10-23,      13.5,      20.8,       7.8,       2.0,,,,,,,       1.5
김제,737,10-23,      14.3,      20.6,       9.2,       1.9,,,,,,,       1.9
화순,741,10-23,      14.2,      21.5,       8.6,       2.3,,,,,,,       0.9
함평,754,10-23,      15.1,      21.3,       9.5,       2.1,,,,,,,       1.5
곡성,768,10-23,      13.5,      20.9,       7.8,       1.8,,,,,,,       1.0
성판악,782,10-23,      11.9,      15.6,       8.7,      10.1,,,,,,,       2.8
풍암,788,10-23,      15.1,      21.7,       9.7,       2.0,,,,,,,       1.0
압해도,789,10-23,      15.9,      20.5,      11.9,       2.2,,,,,,,       2.8
영양,801,10-23,      11.4,      18.7,       6.1,       2.3,,,,,,,       1.3
성주,810,10-23,      12.9,      20.3,       7.2,       2.3,,,,,,,       1.1
고령,812,10-23,      12.9,      20.7,       6.9,       2.2,,,,,,,       0.7
청도,813,10-23,      12.9,      20.7,       7.1,       2.0,,,,,,,       1.2
예천,815,10-23,      11.6,      19.7,       5.8,       2.2,,,,,,,       1.0
김천,822,10-23,      12.6,      20.2,       6.8,       2.2,,,,,,,       1.0
군위,823,10-23,      11.5,      19.9,       5.8,       2.0,,,,,,,       1.2
칠곡,825,10-23,      13.3,      20.7,       7.4,       2.1,,,,,,,       1.4
경산,827,10-23,      14.5,      20.8,       9.5,       2.1,,,,,,,       1.6
달성,828,10-23,      14.4,      21.3,       9.2,       2.3,,,,,,,       1.4
대구서구,846,10-23,      15.1,      20.5,      10.1,       2.1,,,,,,,       1.5
신암,860,10-23,      14.9,      20.6,      10.0,       1.8,      64.1,       6.2,       4.0,,    1013.5,    1020.6,       1.8
완산,864,10-23,      14.3,      20.7,       9.1,       2.1,      70.0,       6.0,       3.8,       2.3,    1013.7,    1020.2,       1.4
삼척,876,10-23,      14.4,      18.9,      10.5,       4.5,,,,,,,       2.0
울기,901,10-23,      16.5,      20.1,      13.8,       2.9,,,,,,,       2.5
삼천포,907,10-23,      16.4,      21.1,      12.6,       3.1,,,,,,,       1.8
영도,910,10-23,      16.4,      20.0,      13.7,       3.0,,,,,,,       3.5
고성,918,10-23,      15.4,      21.6,       9.9,       2.7,,,,,,,       1.8
창녕,919,10-23,      13.8,      21.5,       7.8,       2.5,,,,,,,       1.6
함안,920,10-23,      13.0,      21.8,       7.0,       2.7,,,,,,,       0.9
가덕도,921,10-23,      16.7,      20.7,      14.1,       3.2,,,,,,,       3.7
기장,923,10-23,      15.8,      20.8,      11.4,       2.7,,,,,,,       2.0
간절곶,924,10-23,      16.9,      20.2,      13.5,       2.8,,,,,,,       4.0
하동,932,10-23,      15.3,      21.9,       9.8,       3.1,,,,,,,       1.4
해운대,937,10-23,      16.9,      21.4,      13.3,       3.4,,,,,,,       2.2
부산진,938,10-23,      16.5,      20.9,      12.9,       3.1,,,,,,,       1.9
동래,940,10-23,      16.5,      21.2,      12.5,       2.7,,,,,,,       1.6
북구,941,10-23,      16.0,      20.6,      12.1,       2.6,,,,,,,       1.9
부산남구,942,10-23,      17.2,      21.1,      13.7,       2.8,,,,,,,       2.0
정자,949,10-23,      15.9,      20.5,      11.4,       2.6,,,,,,,       3.4
속초,90,10-24,      13.6,      18.0,       9.4,       2.7,      64.5,       6.0,,,    1016.8,    1019.0,       2.2
철원,95,10-24,      10.0,      17.2,       3.7,       1.6,      72.0,       6.1,,,    1001.5,    1020.2,       1.3
동두천,98,10-24,      11.7,      18.9,       6.3,       2.4,      68.7,       6.1,,,    1006.5,    1020.0,       1.2
파주,99,10-24,      11.0,      18.2,       5.3,       1.9,      73.2,       6.2,,,    1016.2,    1019.9,       1.5
대관령,100,10-24,       7.3,      13.2,       2.0,       2.6,      74.6,       6.2,,,     925.6,    1020.3,       3.3
춘천,101,10-24,      10.9,      17.7,       5.5,       1.7,      75.2,       5.5,,,    1011.1,    1020.4,       1.0
백령도,102,10-24,      13.1,      16.1,      10.8,       1.8,      69.5,       6.3,       4.1,,    1003.8,    1019.9,       4.3
강릉,105,10-24,      14.1,      18.8,      10.0,       3.2,      60.2,       5.9,,,    1016.2,    1019.4,       2.5
동해,106,10-24,      13.7,      18.2,       9.3,       2.7,      65.6,       5.9,,,    1014.5,    1018.9,       2.4
서울,108,10-24,      13.3,      18.4,       9.1,       1.9,      61.0,       6.3,       3.5,       2.7,    1009.8,    1020.2,       2.1
인천,112,10-24,      13.7,      18.2,       9.9,       1.6,      66.4,       6.7,       3.6,       2.7,    1011.6,    1019.8,       2.5
원주,114,10-24,      11.5,      18.2,       5.9,       1.5,      70.4,       5.8,,,    1002.2,    1020.2,       0.8
울릉도,115,10-24,      14.1,      17.5,      11.6,       2.5,      70.9,       5.8,       5.2,       2.9,     992.8,    1019.1,       3.5
수원,119,10-24,      12.9,      18.7,       7.9,       1.6,      69.1,       6.6,       3.4,       2.6,    1016.1,    1020.5,       1.5
영월,121,10-24,      11.1,      18.5,       5.3,       1.7,      72.2,       5.7,,,     991.3,    1020.1,       1.1
충주,127,10-24,      11.1,      18.4,       5.2,       1.7,      72.7,       5.9,,,    1008.6,    1020.6,       1.3
서산,129,10-24,      12.7,      18.9,       7.3,       1.8,      72.9,       6.6,,,    1017.3,    1020.3,       2.0
울진,130,10-24,      13.7,      18.6,       8.9,       2.0,      68.3,       6.2,,,    1013.1,    1019.1,       3.2
청주,131,10-24,      13.0,      19.1,       7.7,       1.6,      66.5,       6.5,       3.8,       2.6,    1013.4,    1020.3,       1.3
대전,133,10-24,      13.0,      19.3,       7.8,       1.7,      71.0,       6.6,       3.7,       2.3,    1012.0,    1020.3,       1.5
추풍령,135,10-24,      11.6,      18.0,       5.9,       1.7,      70.1,       6.2,,,     991.1,    1020.3,       2.2
안동,136,10-24,      11.8,      18.7,       6.2,       1.4,      71.3,       6.0,       4.5,       2.5,    1003.4,    1020.4,       1.3
상주,137,10-24,      12.0,      18.8,       6.8,       1.9,      71.2,       5.7,,,    1008.0,    1019.7,       1.3
포항,138,10-24,      15.5,      19.9,      11.6,       1.4,      63.9,       6.3,       4.2,       3.1,    1019.3,    1019.7,       2.4
군산,140,10-24,      13.9,      18.8,       9.6,       1.8,      73.3,       6.5,,,    1017.1,    1020.3,       2.7
울산,152,10-24,      15.0,      20.3,      10.6,       1.2,      65.5,       6.2,       4.0,,    1014.3,    1019.3,       1.9
창원,155,10-24,      15.8,      20.6,      11.8,       1.6,      61.4,       6.6,       3.5,,    1016.5,    1019.1,       1.7
광주,156,10-24,      14.7,      20.4,       9.9,       1.4,      67.5,       6.5,       3.9,,    1011.3,    1019.9,       1.6
부산,159,10-24,      16.4,      21.1,      12.9,       2.0,      61.3,       6.9,       3.8,       3.2,    1010.6,    1018.9,       3.1
통영,162,10-24,      16.0,      20.9,      12.1,       1.9,      65.9,       6.8,,,    1015.6,    1019.4,       2.4
목포,165,10-24,      15.4,      20.2,      11.5,       1.3,      70.3,       6.5,       4.1,       2.9,    1015.1,    1020.1,       3.7
여수,168,10-24,      16.0,      19.8,      13.0,       1.6,      61.6,       7.0,       3.5,       4.1,    1011.3,    1019.3,       4.4
흑산도,169,10-24,      15.8,      18.4,      14.0,       1.2,      76.4,       6.0,       4.5,,    1010.2,    1019.5,       5.6
완도,170,10-24,      15.5,      20.0,      11.8,       2.2,      70.1,       6.3,,,    1016.0,    1019.7,       3.2
고창,172,10-24,      13.8,      19.8,       8.6,       1.2,      80.3,       6.1,,,    1012.9,    1019.2,       2.4
제주,184,10-24,      17.3,      20.3,      14.7,       2.1,      66.6,       5.1,       5.2,       3.1,    1017.3,    1019.9,       3.3
고산,185,10-24,      17.3,      20.3,      14.7,       1.8,      69.6,       6.2,,,    1010.4,    1019.0,       6.9
성산,188,10-24,      17.0,      20.7,      13.5,       3.6,      69.3,       6.2,,,    1017.2,    1019.4,       3.2
서귀포,189,10-24,      18.5,      22.3,      15.3,       3.4,      65.2,       6.7,       4.3,       3.5,    1012.5,    1018.6,       2.6
진주,192,10-24,      13.3,      20.7,       7.1,       1.8,      70.3,       6.7,,,    1016.5,    1019.6,       1.1
강화,201,10-24,      12.1,      17.8,       6.8,       1.8,      68.6,       6.6,,,    1015.1,    1020.7,       1.7
양평,202,10-24,      11.3,      18.4,       5.8,       1.6,      74.1,       6.1,,,    1015.2,    1021.1,       1.1
이천,203,10-24,      11.3,      18.6,       5.2,       1.6,      69.6,       6.2,,,    1011.1,    1020.3,       1.0
인제,211,10-24,      10.0,      17.3,       4.5,       1.8,      71.8,       5.2,,,     996.6,    1020.7,       1.5
홍천,212,10-24,      10.1,      18.2,       4.5,       1.6,      71.2,       5.6,,,    1003.9,    1021.0,       0.9
태백,216,10-24,       8.9,      15.4,       3.6,       1.8,      69.0,       5.8,,,     936.5,    1019.8,       1.5
정선군,217,10-24,      10.7,      17.6,       5.9,       1.8,      72.5,       4.3,,,     982.9,    1019.6,       1.4
제천,221,10-24,       9.7,      17.7,       3.1,       2.0,      72.0,       6.3,,,     989.4,    1020.8,       1.2
보은,226,10-24,      10.6,      18.4,       4.3,       1.7,      73.2,       6.4,,,     999.3,    1020.2,       1.1
천안,232,10-24,      11.9,      18.8,       5.8,       1.8,      70.5,       6.7,,,    1016.3,    1020.4,       1.6
보령,235,10-24,      13.7,      19.2,       8.9,       1.8,      70.9,       6.8,,,    1018.2,    1020.3,       1.6
부여,236,10-24,      12.1,      19.7,       6.1,       1.7,      73.7,       6.4,,,    1019.0,    1020.6,       1.0
금산,238,10-24,      11.2,      19.2,       5.1,       1.8,      72.9,       6.0,,,    1000.1,    1020.7,       0.9
부안,243,10-24,      13.6,      19.6,       8.1,       1.7,      72.2,       6.6,,,    1019.4,    1020.5,       1.4
임실,244,10-24,      11.0,      19.0,       4.6,       1.5,      73.7,       6.2,,,     991.1,    1020.7,       1.1
정읍,245,10-24,      13.7,      19.8,       8.6,       1.5,      71.5,       6.1,,,    1014.8,    1020.3,       1.0
남원,247,10-24,      12.1,      20.0,       5.7,       1.5,      72.8,       6.4,,,    1008.2,    1020.5,       1.3
장수,248,10-24,      10.1,      18.1,       3.7,       1.9,      76.4,       6.0,,,     972.3,    1020.7,       1.4
영광군,252,10-24,      14.2,      20.0,       9.1,       1.7,      74.4,       6.4,,,    1014.3,    1018.8,       2.2
김해시,253,10-24,      16.0,      21.6,      11.9,       2.4,      63.3,       6.1,,,    1011.7,    1018.7,       1.8
순창군,254,10-24,      13.1,      20.0,       7.6,       2.0,      73.8,       6.1,,,    1003.9,    1019.1,       1.5
양산시,257,10-24,      15.7,      21.2,      11.4,       2.2,      66.0,       6.3,,,    1017.4,    1019.1,       2.3
강진군,259,10-24,      14.6,      20.5,       9.5,       1.6,      72.0,       6.5,,,    1017.6,    1019.1,       2.2
장흥,260,10-24,      13.6,      20.7,       7.5,       1.5,      71.3,       6.6,,,    1014.6,    1019.9,       1.7
해남,261,10-24,      14.1,      20.5,       7.9,       1.5,      71.3,       6.7,,,    1018.0,    1020.2,       2.0
고흥,262,10-24,      14.4,      20.7,       8.6,       2.0,      68.6,       6.6,,,    1013.6,    1019.8,       1.4
의령군,263,10-24,      12.9,      20.4,       7.3,       2.3,      80.0,       5.8,,,    1016.8,    1018.5,       1.1
함양군,264,10-24,      12.3,      20.2,       6.5,       1.9,      79.0,       5.6,,,    1000.8,    1018.9,       1.0
진도군,268,10-24,      14.8,      19.7,      10.0,       2.2,,,,,,,       2.0
봉화,271,10-24,       9.4,      17.8,       2.6,       1.4,      73.5,       5.8,,,     981.9,    1019.9,       1.2
영주,272,10-24,      11.3,      18.1,       5.2,       1.6,      68.4,       6.4,,,     995.0,    1020.0,       2.3
문경,273,10-24,      11.3,      18.2,       5.6,       1.5,      69.4,       6.4,,,     999.7,    1020.3,       1.6
청송군,276,10-24,      10.9,      18.4,       5.2,       1.6,      77.3,       5.0,,,     994.2,    1019.1,       1.1
영덕,277,10-24,      13.6,      19.1,       8.8,       1.7,      67.2,       6.4,,,    1015.3,    1020.2,       2.6
의성,278,10-24,      11.0,      19.7,       4.2,       1.4,      73.4,       5.8,,,    1010.6,    1020.2,       1.0
구미,279,10-24,      12.6,      19.5,       7.0,       1.4,      70.5,       5.8,,,    1014.8,    1020.4,       1.3
영천,281,10-24,      12.5,      19.9,       6.3,       1.2,      68.3,       6.3,,,    1009.0,    1020.2,       1.5
경주시,283,10-24,      13.7,      20.3,       8.4,       2.2,      73.5,       5.1,,,    1013.9,    1018.5,       2.2
경주시,283,10-24,      13.7,      20.3,       8.4,       2.2,      73.5,       5.1,,,    1013.9,    1018.5,       2.2
거창,284,10-24,      11.3,      19.5,       4.9,       1.5,      72.5,       6.1,,,     993.6,    1020.5,       1.2
합천,285,10-24,      12.8,      20.7,       7.0,       1.5,      70.1,       6.1,,,    1016.3,    1020.2,       1.0
밀양,288,10-24,      13.5,      21.0,       7.3,       1.3,      70.3,       6.5,,,    1018.5,    1019.9,       1.2
산청,289,10-24,      12.7,      20.1,       7.0,       1.5,      68.6,       5.9,,,    1003.9,    1020.7,       1.4
거제,294,10-24,      15.3,      20.4,      10.9,       2.3,      66.3,       6.4,,,    1014.4,    1019.1,       1.4
남해,295,10-24,      15.1,      20.3,      10.8,       2.2,      65.2,       6.8,,,    1014.6,    1020.1,       1.6
강남,400,10-24,      14.2,      18.9,      10.3,       1.8,,,,,,,       1.5
서초,401,10-24,      14.2,      19.2,      10.1,       1.6,,,,,,,       1.2
강동,402,10-24,      13.2,      18.7,       8.6,       2.1,,,,,,,       1.3
송파,403,10-24,      14.4,      19.2,      10.4,       1.7,,,,,,,       1.6
강서,404,10-24,      13.8,      18.6,       9.8,       1.6,,,,,,,       1.6
양천,405,10-24,      14.6,      19.0,      10.8,       1.8,,,,,,,       1.3
도봉,406,10-24,      12.5,      18.7,       7.4,       2.2,,,,,,,       0.9
노원,407,10-24,      12.0,      18.6,       6.1,       2.2,,,,,,,       1.3
동대문,408,10-24,      14.2,      19.2,      10.1,       2.0,,,,,,,       1.6
중랑,409,10-24,      14.1,      18.8,      10.0,       2.2,,,,,,,       1.9
기상청,410,10-24,      14.2,      18.9,      10.4,       1.8,,,,,,,       1.3
마포,411,10-24,      14.5,      19.0,      10.7,       1.8,,,,,,,       2.1
서대문,412,10-24,      13.1,      18.8,       8.7,       1.9,,,,,,,       1.5
광진,413,10-24,      13.9,      18.8,       9.9,       1.7,,,,,,,       1.6
성북,414,10-24,      13.2,      18.0,       9.3,       2.1,,,,,,,       1.5
용산,415,10-24,      14.3,      19.0,      10.3,       1.6,,,,,,,       1.6
은평,416,10-24,      12.8,      18.4,       8.1,       1.7,,,,,,,       1.6
금천,417,10-24,      14.4,      18.7,      10.9,       1.5,,,,,,,       1.7
중구,419,10-24,      12.6,      17.2,       9.0,       1.9,,,,,,,       2.4
성동,421,10-24,      14.4,      18.6,      10.7,       1.8,,,,,,,       2.0
구로,423,10-24,      13.3,      18.3,       9.1,       1.8,,,,,,,       1.8
강북,424,10-24,      13.7,      18.6,       9.6,       2.4,,,,,,,       1.6
남현,425,10-24,      13.1,      18.0,       8.9,       2.2,,,,,,,       1.2
부천,433,10-24,      14.3,      19.1,      10.2,       1.6,,,,,,,       1.1
안양,434,10-24,      14.1,      18.5,      10.4,       1.7,,,,,,,       2.1
광명,437,10-24,      14.8,      19.0,      11.3,       1.7,,,,,,,       1.9
군포,438,10-24,      14.3,      18.9,      10.6,       1.8,,,,,,,       1.2
김포,441,10-24,      12.8,      18.2,       8.4,       1.7,,,,,,,       1.3
하남,444,10-24,      13.0,      19.2,       7.9,       0.8,,,,,,,       0.7
의왕,445,10-24,      12.5,      17.7,       7.8,       1.8,,,,,,,       1.0
포천,504,10-24,      11.0,      18.6,       5.3,       2.4,,,,,,,       1.2
가평조종,505,10-24,       9.7,      17.5,       3.7,       1.9,,,,,,,       1.0
영등포,510,10-24,      14.7,      19.1,      11.2,       1.4,,,,,,,       1.4
인천연수,512,10-24,      14.1,      19.2,       9.5,       1.8,,,,,,,       1.6
안성,516,10-24,      12.7,      19.2,       7.5,       1.7,,,,,,,       1.0
간성,517,10-24,      12.6,      17.9,       7.7,       3.6,,,,,,,       1.8
평창,526,10-24,      10.0,      17.7,       4.4,       1.8,,,,,,,       1.0
의정부,532,10-24,      11.7,      18.3,       6.1,       2.0,,,,,,,       0.9
횡성,536,10-24,      10.8,      18.6,       4.8,       1.7,,,,,,,       1.1
고양,540,10-24,      12.2,      19.0,       6.5,       1.6,,,,,,,       1.1
남양주,541,10-24,      11.0,      18.9,       5.1,       2.1,,,,,,,       0.9
안산,545,10-24,      12.2,      18.8,       6.1,       1.6,,,,,,,       1.4
경기광주,546,10-24,      11.8,      18.4,       6.8,       1.9,,,,,,,       1.4
여주,548,10-24,      11.0,      18.4,       5.8,       1.6,,,,,,,       1.0
용인,549,10-24,      11.5,      18.6,       6.2,       1.4,,,,,,,       1.1
오산,550,10-24,      12.5,      19.1,       7.5,       1.7,,,,,,,       1.1
평택,551,10-24,      13.2,      19.4,       8.0,       1.8,,,,,,,       1.5
화천,555,10-24,      10.1,      18.3,       4.5,       1.9,,,,,,,       1.1
양구,556,10-24,       9.5,      17.9,       3.9,       1.9,,,,,,,       1.0
시흥,565,10-24,      13.5,      18.9,       8.8,       1.5,,,,,,,       1.5
구리,569,10-24,      13.0,      18.7,       8.4,       2.1,,,,,,,       1.2
금곡,570,10-24,      12.8,      18.2,       8.2,       1.5,,,,,,,       1.2
화성,571,10-24,      13.4,      18.8,       8.9,       1.8,,,,,,,       1.3
성남,572,10-24,      13.4,      18.7,       8.7,       1.6,,,,,,,       1.1
과천,590,10-24,      12.8,      18.8,       7.8,       1.7,,,,,,,       1.5
진부령,595,10-24,       9.3,      14.7,       4.4,       2.4,,,,,,,       2.6
양주,598,10-24,      10.9,      18.4,       5.0,       1.7,,,,,,,       0.9
단양,601,10-24,      11.2,      18.4,       6.5,       1.5,,,,,,,       0.8
진천,602,10-24,      11.4,      19.0,       5.9,       2.1,,,,,,,       1.0
괴산,603,10-24,      10.6,      18.6,       5.0,       2.0,,,,,,,       0.9
옥천,604,10-24,      11.5,      19.0,       6.2,       2.0,,,,,,,       0.9
세종연서,611,10-24,      11.6,      19.3,       5.9,       1.7,,,,,,,       1.0
공주,612,10-24,      12.4,      19.3,       6.7,       1.7,,,,,,,       1.1
서천,614,10-24,      13.0,      19.5,       7.6,       1.8,,,,,,,       1.5
논산,615,10-24,      12.3,      19.9,       6.2,       2.0,,,,,,,       1.3
당진,616,10-24,      12.6,      18.6,       7.6,       1.7,,,,,,,       1.7
청양,618,10-24,      11.5,      19.0,       5.3,       2.2,,,,,,,       1.0
음성,619,10-24,      10.2,      19.0,       4.0,       1.8,,,,,,,       1.2
증평,623,10-24,      11.4,      19.1,       5.5,       1.8,,,,,,,       1.0
태안,627,10-24,      14.1,      19.1,      10.2,       2.2,,,,,,,       1.7
예산,628,10-24,      12.8,      19.4,       7.4,       1.9,,,,,,,       1.6
아산,634,10-24,      13.2,      19.1,       8.0,       1.8,,,,,,,       1.7
계룡,636,10-24,      11.6,      19.1,       5.2,       2.1,,,,,,,       0.9
오월드,642,10-24,      13.7,      19.7,       8.8,       2.0,,,,,,,       1.0
세천,643,10-24,      12.2,      19.1,       6.6,       1.7,,,,,,,       0.9
장동,648,10-24,      12.5,      19.2,       7.1,       1.8,,,,,,,       0.9
부평,649,10-24,      12.9,      19.1,       7.7,       2.2,,,,,,,       0.6
연천청산,652,10-24,      11.4,      18.6,       5.6,       2.2,,,,,,,       1.0
양양,670,10-24,      14.1,      18.8,       9.8,       1.2,,,,,,,       2.3
사북,674,10-24,       9.0,      14.2,       4.5,       2.2,,,,,,,       2.5
무안,699,10-24,      14.1,      19.6,       9.3,       1.3,,,,,,,       1.9
무주,701,10-24,      11.3,      18.7,       5.5,       2.1,,,,,,,       1.1
익산,702,10-24,      13.6,      20.0,       7.9,       1.9,,,,,,,       1.3
진안,703,10-24,      10.6,      18.4,       4.7,       1.9,,,,,,,       1.3
담양,706,10-24,      13.4,      20.4,       7.8,       1.9,,,,,,,       1.7
광산,708,10-24,      14.1,      20.7,       8.3,       1.1,,,,,,,       1.6
구례,709,10-24,      13.2,      21.0,       7.4,       1.7,,,,,,,       1.2
나주,710,10-24,      13.8,      20.9,       8.3,       1.6,,,,,,,       1.3
순천시,712,10-24,      15.4,      20.9,      11.0,       1.9,,,,,,,       2.0
광양읍,713,10-24,      14.9,      21.4,       9.7,       1.9,,,,,,,       1.5
조선대,722,10-24,      14.9,      20.4,      10.2,       1.5,,,,,,,       1.8
거문도,723,10-24,      17.3,      20.0,      15.5,       2.3,,,,,,,       4.0
추자도,724,10-24,      17.2,      19.6,      15.3,       2.1,,,,,,,       4.2
장성,730,10-24,      13.2,      20.2,       7.8,       1.6,,,,,,,       1.3
영암,731,10-24,      14.3,      20.6,       8.7,       1.7,,,,,,,       1.7
보성,732,10-24,      12.6,      19.8,       6.8,       2.2,,,,,,,       1.4
완주,734,10-24,      13.0,      20.3,       7.3,       1.8,,,,,,,       1.5
김제,737,10-24,      13.9,      20.1,       8.8,       1.7,,,,,,,       1.9
화순,741,10-24,      13.7,      20.9,       8.2,       2.0,,,,,,,       0.9
함평,754,10-24,      14.6,      20.7,       9.3,       1.8,,,,,,,       1.5
곡성,768,10-24,      13.1,      20.3,       7.4,       1.5,,,,,,,       1.1
성판악,782,10-24,      11.5,      15.2,       8.3,       8.6,,,,,,,       2.9
풍암,788,10-24,      14.6,      21.0,       9.2,       1.6,,,,,,,       1.1
압해도,789,10-24,      15.5,      19.9,      11.6,       1.9,,,,,,,       3.1
영양,801,10-24,      11.0,      18.3,       5.6,       1.5,,,,,,,       1.3
성주,810,10-24,      12.4,      19.9,       6.9,       1.7,,,,,,,       1.1
고령,812,10-24,      12.5,      20.3,       6.5,       1.8,,,,,,,       0.7
청도,813,10-24,      12.4,      20.3,       6.7,       1.6,,,,,,,       1.2
예천,815,10-24,      11.2,      19.2,       5.4,       1.5,,,,,,,       1.0
김천,822,10-24,      12.3,      19.7,       6.4,       1.6,,,,,,,       1.0
군위,823,10-24,      11.1,      19.4,       5.4,       1.7,,,,,,,       1.3
칠곡,825,10-24,      13.0,      20.2,       7.1,       1.6,,,,,,,       1.4
경산,827,10-24,      14.1,      20.4,       9.1,       1.8,,,,,,,       1.6
달성,828,10-24,      14.0,      20.9,       8.9,       1.9,,,,,,,       1.4
대구서구,846,10-24,      14.7,      20.1,       9.9,       1.8,,,,,,,       1.5
신암,860,10-24,      14.6,      20.3,       9.7,       1.4,      62.6,       6.6,       3.7,,    1013.7,    1020.8,       1.9
완산,864,10-24,      13.9,      20.2,       8.6,       1.8,      68.8,       6.4,       3.5,       2.2,    1014.1,    1020.6,       1.5
삼척,876,10-24,      14.2,      18.6,      10.3,       3.6,,,,,,,       2.0
울기,901,10-24,      16.2,      19.9,      13.3,       2.0,,,,,,,       2.4
삼천포,907,10-24,      16.0,      20.7,      12.2,       2.2,,,,,,,       1.9
영도,910,10-24,      16.1,      19.7,      13.3,       2.5,,,,,,,       3.3
고성,918,10-24,      15.1,      21.2,       9.4,       2.0,,,,,,,       1.8
창녕,919,10-24,      13.4,      21.0,       7.5,       2.0,,,,,,,       1.6
함안,920,10-24,      12.6,      21.3,       6.6,       1.9,,,,,,,       0.9
가덕도,921,10-24,      16.4,      20.3,      13.7,       2.4,,,,,,,       3.7
기장,923,10-24,      15.4,      20.5,      11.0,       2.0,,,,,,,       2.0
간절곶,924,10-24,      16.6,      19.9,      13.1,       1.9,,,,,,,       3.8
하동,932,10-24,      14.9,      21.5,       9.4,       2.5,,,,,,,       1.4
해운대,937,10-24,      16.6,      21.2,      12.9,       2.6,,,,,,,       2.1
부산진,938,10-24,      16.1,      20.6,      12.5,       2.5,,,,,,,       1.9
동래,940,10-24,      16.1,      20.8,      12.1,       2.1,,,,,,,       1.6
북구,941,10-24,      15.5,      20.2,      11.7,       2.1,,,,,,,       1.8
부산남구,942,10-24,      16.8,      20.7,      13.3,       2.3,,,,,,,       2.0
정자,949,10-24,      15.5,      20.2,      11.1,       2.0,,,,,,,       3.3
속초,90,10-25,      13.3,      17.8,       9.1,       2.4,      63.3,       6.5,,,    1017.0,    1019.2,       2.3
철원,95,10-25,       9.6,      17.0,       3.2,       1.4,      71.8,       6.5,,,    1001.8,    1020.6,       1.2
동두천,98,10-25,      11.3,      18.7,       5.7,       2.3,      68.2,       6.5,,,    1006.8,    1020.3,       1.2
